"test_num","board","sensor","marble_color","min_value","max_value","low_threshold","high_threshold","min_range","max_range","sensor_amplitude","monitored_mean","coeff_monitored_range","coeff_full_range","Maxy ref alpha","maxy i ref","maxy cal alpha","adjusted_full_range"
0,3,0," NONE   ",0,0,0,736,1473,3143,1670,0,-0.882035928143713,0,3143,3143,3143,0
0,3,0," Red    ",1473,1526,736,1765,1473,3143,1670,1499.5,0.0158682634730539,0.477091950365892,3143,3143,3143,0.477091950365892
0,3,0," Blue   ",2004,2148,1765,2280,1473,3143,1670,2076,0.361077844311377,0.660515431116767,3143,3143,3143,0.660515431116767
0,3,0," Yellow ",2412,2479,2280,2769,1473,3143,1670,2445.5,0.582335329341317,0.778078269169583,3143,3143,3143,0.778078269169583
0,3,0," White  ",3059,3143,2769,4095,1473,3143,1670,3101,0.974850299401198,0.986636971046771,3143,3143,3143,0.986636971046771
0,3,1," NONE   ",0,0,0,684,1369,3051,1682,0,-0.813912009512485,0,3143,3051,3143,0
0,3,1," Red    ",1369,1499,684,1665,1369,3051,1682,1434,0.0386444708680143,0.470009832841691,3143,3051,3143,0.470009832841691
0,3,1," Blue   ",1831,2156,1665,2180,1369,3051,1682,1993.5,0.37128418549346,0.653392330383481,3143,3051,3143,0.653392330383481
0,3,1," Yellow ",2203,2391,2180,2674,1369,3051,1682,2297,0.551724137931034,0.752867912159948,3143,3051,3143,0.752867912159948
0,3,1," White  ",2957,3051,2674,4095,1369,3051,1682,3004,0.972057074910821,0.98459521468371,3143,3051,3143,0.98459521468371
0,3,2," NONE   ",0,0,0,644,1288,2712,1424,0,-0.904494382022472,0,3143,2712,3143,0
0,3,2," Red    ",1288,1323,644,1456,1288,2712,1424,1305.5,0.0122893258426966,0.481379056047198,3143,2712,3143,0.481379056047198
0,3,2," Blue   ",1589,1743,1456,1868,1288,2712,1424,1666,0.265449438202247,0.614306784660767,3143,2712,3143,0.614306784660767
0,3,2," Yellow ",1993,2094,1868,2330,1288,2712,1424,2043.5,0.530547752808989,0.753502949852507,3143,2712,3143,0.753502949852507
0,3,2," White  ",2566,2712,2330,4095,1288,2712,1424,2639,0.94873595505618,0.973082595870207,3143,2712,3143,0.973082595870207
0,3,3," NONE   ",0,0,0,708,1415,2992,1577,0,-0.897273303741281,0,3143,2992,3143,0
0,3,3," Red    ",1415,1443,708,1582,1415,2992,1577,1429,0.00887761572606214,0.477606951871658,3143,2992,3143,0.477606951871658
0,3,3," Blue   ",1720,2011,1582,2141,1415,2992,1577,1865.5,0.2856689917565,0.623495989304813,3143,2992,3143,0.623495989304813
0,3,3," Yellow ",2271,2324,2141,2581,1415,2992,1577,2297.5,0.559606848446417,0.767881016042781,3143,2992,3143,0.767881016042781
0,3,3," White  ",2838,2992,2581,4095,1415,2992,1577,2915,0.951173113506658,0.974264705882353,3143,2992,3143,0.974264705882353
0,3,4," NONE   ",0,0,0,580,1159,2429,1270,0,-0.91259842519685,0,3143,2429,3143,0
0,3,4," Red    ",1159,1235,580,1340,1159,2429,1270,1197,0.0299212598425197,0.492795389048991,3143,2429,3143,0.492795389048991
0,3,4," Blue   ",1446,1621,1340,1730,1159,2429,1270,1533.5,0.29488188976378,0.631329765335529,3143,2429,3143,0.631329765335529
