board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
1;0;" NONE   ";  262;  342;   0; 468
1;0;" Black  ";  594;  628; 468;1577
1;0;" Red    "; 2526; 2646;1577;2849
1;0;" Blue   "; 3052; 3320;2849;3499
1;0;" Yellow "; 3678; 3711;3499;3741
1;0;" White  "; 3771; 3799;3741;4095
1;1;" NONE   ";  254;  314;   0; 326
1;1;" Black  ";  337;  460; 326;1277
1;1;" Red    "; 2094; 2142;1277;2416
1;1;" Blue   "; 2689; 2720;2416;2908
1;1;" Yellow "; 3096; 3327;2908;3517
1;1;" White  "; 3707; 3729;3517;4095
1;2;" NONE   ";  282;  324;   0; 370
1;2;" Black  ";  415;  460; 370;1369
1;2;" Red    "; 2278; 2320;1369;2600
1;2;" Blue   "; 2880; 2973;2600;3100
1;2;" Yellow "; 3226; 3500;3100;3612
1;2;" White  "; 3724; 3755;3612;4095
1;3;" NONE   ";  173;  309;   0; 408
1;3;" Black  ";  507;  653; 408;1540
1;3;" Red    "; 2427; 2574;1540;2842
1;3;" Blue   "; 3110; 3169;2842;3416
1;3;" Yellow "; 3664; 3715;3416;3732
1;3;" White  "; 3750; 3782;3732;4095
1;4;" NONE   ";  155;  261;   0; 307
1;4;" Black  ";  353;  483; 307;1170
1;4;" Red    "; 1856; 1998;1170;2267
1;4;" Blue   "; 2536; 2582;2267;2808
1;4;" Yellow "; 3035; 3080;2808;3318
1;4;" White  "; 3555; 3619;3318;4095
1;5;" NONE   ";  199;  292;   0; 278
1;5;" Black  ";  264;  347; 278; 938
1;5;" Red    "; 1530; 1585; 938;1750
1;5;" Blue   "; 1916; 2254;1750;2290
1;5;" Yellow "; 2326; 2452;2290;2709
1;5;" White  "; 2966; 3160;2709;4095
1;6;" NONE   ";  157;  208;   0; 248
1;6;" Black  ";  287;  377; 248; 990
1;6;" Red    "; 1603; 1738; 990;1912
1;6;" Blue   "; 2087; 2265;1912;2404
1;6;" Yellow "; 2543; 2697;2404;3024
1;6;" White  "; 3351; 3464;3024;4095
1;7;" NONE   "; -125;    0;   0; 178
1;7;" Black  ";  357;  423; 178;1059
1;7;" Red    "; 1695; 1762;1059;2069
1;7;" Blue   "; 2376; 2404;2069;2568
1;7;" Yellow "; 2733; 2866;2568;3267
1;7;" White  "; 3668; 3701;3267;4095
1;8;" NONE   "; -133;    0;   0; 210
1;8;" Black  ";  420;  460; 210;1170
1;8;" Red    "; 1879; 1925;1170;2168
1;8;" Blue   "; 2411; 2694;2168;2806
1;8;" Yellow "; 2919; 3187;2806;3418
1;8;" White  "; 3649; 3702;3418;4095
1;9;" NONE   ";  142;  201;   0; 238
1;9;" Black  ";  275;  355; 238; 962
1;9;" Red    "; 1569; 1681; 962;1885
1;9;" Blue   "; 2089; 2316;1885;2433
1;9;" Yellow "; 2550; 2692;2433;2982
1;9;" White  "; 3271; 3389;2982;4095
1;10;" NONE   ";  210;  317;   0; 290
1;10;" Black  ";  262;  306; 290; 948
1;10;" Red    "; 1589; 1779; 948;1942
1;10;" Blue   "; 2105; 2274;1942;2310
1;10;" Yellow "; 2346; 2703;2310;2910
1;10;" White  "; 3117; 3207;2910;4095
1;11;" NONE   ";  263;  315;   0; 310
1;11;" Black  ";  306;  394; 310;1064
1;11;" Red    "; 1733; 1790;1064;1954
1;11;" Blue   "; 2117; 2500;1954;2522
1;11;" Yellow "; 2543; 2650;2522;2904
1;11;" White  "; 3159; 3301;2904;4095
1;12;" NONE   ";  234;  294;   0; 321
1;12;" Black  ";  348;  398; 321;1114
1;12;" Red    "; 1829; 1882;1114;2060
1;12;" Blue   "; 2238; 2591;2060;2716
1;12;" Yellow "; 2842; 2905;2716;3162
1;12;" White  "; 3419; 3473;3162;4095
1;13;" NONE   ";  263;  320;   0; 329
1;13;" Black  ";  338;  370; 329;1120
1;13;" Red    "; 1870; 1924;1120;2099
1;13;" Blue   "; 2274; 2575;2099;2636
1;13;" Yellow "; 2697; 2787;2636;3129
1;13;" White  "; 3471; 3502;3129;4095
1;14;" NONE   ";  240;  287;   0; 298
1;14;" Black  ";  308;  442; 298;1172
1;14;" Red    "; 1902; 1991;1172;2128
1;14;" Blue   "; 2266; 2659;2128;2776
1;14;" Yellow "; 2894; 2994;2776;3299
1;14;" White  "; 3604; 3676;3299;4095
1;15;" NONE   ";  246;  323;   0; 355
1;15;" Black  ";  387;  442; 355;1280
1;15;" Red    "; 2118; 2262;1280;2504
1;15;" Blue   "; 2746; 2880;2504;3012
1;15;" Yellow "; 3143; 3227;3012;3458
1;15;" White  "; 3689; 3712;3458;4095
