board;sensor;marble_color;min_value;max_value;mean;low_threshold;high_threshold
0;0;" NONE   ";24;134;69;0;613
0;0;" Orange ";1093;1355;1210;613;1712
0;0;" Green  ";2070;2244;2137;1712;3008
0;0;" White  ";3773;3796;3785;3008;4095
0;1;" NONE   ";29;154;88;0;551
0;1;" Orange ";948;1121;1032;551;1401
0;1;" Green  ";1682;1883;1783;1401;2795
0;1;" White  ";3707;3749;3726;2795;4095
0;2;" NONE   ";70;158;118;0;495
0;2;" Orange ";832;980;912;495;1229
0;2;" Green  ";1478;1639;1543;1229;2300
0;2;" White  ";2961;3279;3200;2300;4095
0;3;" NONE   ";5;71;22;0;453
0;3;" Orange ";836;976;913;453;1261
0;3;" Green  ";1547;1657;1592;1261;2558
0;3;" White  ";3459;3671;3543;2558;4095
0;4;" NONE   ";11;59;28;0;422
0;4;" Orange ";785;934;878;422;1174
0;4;" Green  ";1414;1590;1511;1174;2437
0;4;" White  ";3284;3422;3359;2437;4095
0;5;" NONE   ";70;185;109;0;419
0;5;" Orange ";653;767;703;419;979
0;5;" Green  ";1191;1298;1246;979;1819
0;5;" White  ";2340;2636;2579;1819;4095
0;6;" NONE   ";54;167;98;0;383
0;6;" Orange ";599;730;661;383;911
0;6;" Green  ";1093;1170;1131;911;1759
0;6;" White  ";2348;2397;2375;1759;4095
0;7;" NONE   ";11;134;50;0;434
0;7;" Orange ";735;865;800;434;1089
0;7;" Green  ";1313;1442;1400;1089;2216
0;7;" White  ";2990;3195;3133;2216;4095
0;8;" NONE   ";29;134;67;0;484
0;8;" Orange ";834;979;922;484;1248
0;8;" Green  ";1517;1665;1592;1248;2549
0;8;" White  ";3433;3642;3558;2549;4095
0;9;" NONE   ";19;126;59;0;458
0;9;" Orange ";791;910;858;458;1162
0;9;" Green  ";1415;1527;1457;1162;2221
0;9;" White  ";2915;3312;3220;2221;4095
0;10;" NONE   ";44;159;79;0;408
0;10;" Orange ";657;757;702;408;971
0;10;" Green  ";1185;1272;1225;971;1834
0;10;" White  ";2396;2707;2629;1834;4095
0;11;" NONE   ";0;55;10;0;354
0;11;" Orange ";653;806;733;354;1030
0;11;" Green  ";1255;1362;1301;1030;2121
0;11;" White  ";2880;3011;2943;2121;4095
0;12;" NONE   ";23;90;46;0;471
0;12;" Orange ";852;1034;948;471;1260
0;12;" Green  ";1487;1626;1565;1260;2557
0;12;" White  ";3488;3593;3542;2557;4095
0;13;" NONE   ";35;115;64;0;469
0;13;" Orange ";823;999;893;469;1239
0;13;" Green  ";1480;1605;1548;1239;2351
0;13;" White  ";3097;3388;3293;2351;4095
0;14;" NONE   ";24;136;60;0;480
0;14;" Orange ";825;1005;917;480;1271
0;14;" Green  ";1538;1674;1594;1271;2586
0;14;" White  ";3499;3630;3583;2586;4095
0;15;" NONE   ";23;135;60;0;459
0;15;" Orange ";783;961;874;459;1178
0;15;" Green  ";1395;1543;1489;1178;2319
0;15;" White  ";3096;3349;3241;2319;4095
1;0;" NONE   ";9;113;42;0;575
1;0;" Orange ";1038;1277;1168;575;1629
1;0;" Green  ";1982;2146;2078;1629;2950
1;0;" White  ";3755;3796;3783;2950;4095
1;1;" NONE   ";0;68;6;0;492
1;1;" Orange ";917;1069;991;492;1355
1;1;" Green  ";1641;1767;1719;1355;2730
1;1;" White  ";3694;3751;3726;2730;4095
1;2;" NONE   ";0;66;18;0;533
1;2;" Orange ";1000;1180;1093;533;1483
1;2;" Green  ";1786;1994;1884;1483;2843
1;2;" White  ";3692;3770;3746;2843;4095
1;3;" NONE   ";0;15;0;0;530
1;3;" Orange ";1046;1182;1126;530;1521
1;3;" Green  ";1861;2126;2000;1521;2947
1;3;" White  ";3769;3789;3780;2947;4095
1;4;" NONE   ";0;23;0;0;422
1;4;" Orange ";822;1042;925;422;1283
1;4;" Green  ";1525;1644;1599;1283;2600
