board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
15;0;" NONE   ";    9;   54;   0; 434
15;0;" Orange ";  813;  876; 434; 977
15;0;" Red    "; 1078; 1186; 977;1292
15;0;" Green  "; 1398; 1467;1292;1560
15;0;" Blue   "; 1652; 1821;1560;2376
15;0;" White  "; 2930; 3234;2376;4095
15;1;" NONE   ";   29;   62;   0; 456
15;1;" Orange ";  849;  920; 456;1026
15;1;" Red    "; 1131; 1229;1026;1336
15;1;" Green  "; 1443; 1544;1336;1628
15;1;" Blue   "; 1712; 1895;1628;2526
15;1;" White  "; 3158; 3414;2526;4095
15;2;" NONE   ";    8;   29;   0; 364
15;2;" Orange ";  700;  758; 364; 848
15;2;" Red    ";  937; 1040; 848;1126
15;2;" Green  "; 1212; 1317;1126;1365
15;2;" Blue   "; 1413; 1596;1365;2145
15;2;" White  "; 2694; 2938;2145;4095
15;3;" NONE   ";   16;   44;   0; 358
15;3;" Orange ";  672;  747; 358; 821
15;3;" Red    ";  895; 1000; 821;1074
15;3;" Green  "; 1149; 1275;1074;1332
15;3;" Blue   "; 1390; 1579;1332;2086
15;3;" White  "; 2592; 2795;2086;4095
15;4;" NONE   ";   11;   34;   0; 370
15;4;" Orange ";  706;  753; 370; 852
15;4;" Red    ";  950; 1034; 852;1119
15;4;" Green  "; 1204; 1285;1119;1344
15;4;" Blue   "; 1404; 1514;1344;2056
15;4;" White  "; 2597; 2825;2056;4095
15;5;" NONE   ";   44;   88;   0; 337
15;5;" Orange ";  586;  692; 337; 778
15;5;" Red    ";  865;  912; 778; 996
15;5;" Green  "; 1079; 1171; 996;1208
15;5;" Blue   "; 1246; 1364;1208;1798
15;5;" White  "; 2232; 2482;1798;4095
15;6;" NONE   ";   22;   48;   0; 298
15;6;" Orange ";  549;  601; 298; 686
15;6;" Red    ";  770;  823; 686; 898
15;6;" Green  ";  974; 1022; 898;1076
15;6;" Blue   "; 1130; 1268;1076;1690
15;6;" White  "; 2111; 2272;1690;4095
15;7;" NONE   ";   14;   61;   0; 400
15;7;" Orange ";  740;  790; 400; 878
15;7;" Red    ";  967; 1050; 878;1135
15;7;" Green  "; 1220; 1322;1135;1350
15;7;" Blue   "; 1377; 1649;1350;2164
15;7;" White  "; 2678; 2816;2164;4095
15;8;" NONE   ";    6;   26;   0; 346
15;8;" Orange ";  666;  692; 346; 824
15;8;" Red    ";  956; 1014; 824;1093
15;8;" Green  "; 1172; 1251;1093;1318
15;8;" Blue   "; 1384; 1477;1318;2060
15;8;" White  "; 2642; 2852;2060;4095
15;9;" NONE   ";   33;   55;   0; 301
15;9;" Orange ";  547;  665; 301; 757
15;9;" Red    ";  849;  911; 757; 998
15;9;" Green  "; 1085; 1187; 998;1234
15;9;" Blue   "; 1280; 1322;1234;1803
15;9;" White  "; 2284; 2533;1803;4095
15;10;" NONE   ";   18;   42;   0; 268
15;10;" Orange ";  493;  639; 268; 700
15;10;" Red    ";  762;  784; 700; 866
15;10;" Green  ";  948;  987; 866;1038
15;10;" Blue   "; 1088; 1192;1038;1587
15;10;" White  "; 1982; 2169;1587;4095
15;11;" NONE   ";    4;   26;   0; 264
15;11;" Orange ";  502;  585; 264; 659
15;11;" Red    ";  733;  784; 659; 873
15;11;" Green  ";  962; 1046; 873;1080
15;11;" Blue   "; 1115; 1248;1080;1644
15;11;" White  "; 2040; 2255;1644;4095
15;12;" NONE   ";    0;   18;   0; 260
15;12;" Orange ";  501;  616; 260; 702
15;12;" Red    ";  787;  828; 702; 918
15;12;" Green  "; 1007; 1108; 918;1146
15;12;" Blue   "; 1183; 1239;1146;1718
15;12;" White  "; 2196; 2415;1718;4095
15;13;" NONE   ";   18;   44;   0; 328
15;13;" Orange ";  613;  673; 328; 790
15;13;" Red    ";  907;  954; 790;1050
15;13;" Green  "; 1147; 1224;1050;1280
15;13;" Blue   "; 1335; 1367;1280;1884
15;13;" White  "; 2400; 2613;1884;4095
15;14;" NONE   ";    0;   13;   0; 340
15;14;" Orange ";  667;  751; 340; 872
15;14;" Red    ";  993; 1035; 872;1147
15;14;" Green  "; 1259; 1319;1147;1364
15;14;" Blue   "; 1410; 1464;1364;2048
15;14;" White  "; 2632; 2913;2048;4095
15;15;" NONE   ";   17;   69;   0; 384
15;15;" Orange ";  698;  820; 384; 926
15;15;" Red    "; 1032; 1086; 926;1172
15;15;" Green  "; 1259; 1369;1172;1431
15;15;" Blue   "; 1493; 1652;1431;2196
15;15;" White  "; 2739; 2986;2196;4095
