board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
0;0;" NONE   ";0;22;0;576
0;0;" Orange ";1131;1350;576;1566
0;0;" Red    ";1651;1773;1566;1882
0;0;" Green  ";2029;2176;1882;2443
0;0;" Blue   ";2997;3184;2443;3451
0;0;" White  ";3719;3732;3451;4095
0;1;" NONE   ";0;41;0;519
0;1;" Orange ";998;1057;519;1142
0;1;" Red    ";1397;1569;1142;1712
0;1;" Green  ";1805;1905;1712;2074
0;1;" Blue   ";2503;2759;2074;3204
0;1;" White  ";3650;3694;3204;4095
0;2;" NONE   ";0;81;0;431
0;2;" Orange ";782;945;431;1074
0;2;" Red    ";1170;1311;1074;1391
0;2;" Green  ";1465;1607;1391;1833
0;2;" Blue   ";2068;2174;1833;2641
0;2;" White  ";3108;3313;2641;4095
0;3;" NONE   ";0;0;0;372
0;3;" Orange ";745;963;372;1106
0;3;" Red    ";1188;1317;1106;1415
0;3;" Green  ";1513;1632;1415;1728
0;3;" Blue   ";2111;2338;1728;2917
0;3;" White  ";3497;3633;2917;4095
0;4;" NONE   ";0;0;0;394
0;4;" Orange ";789;940;394;1060
0;4;" Red    ";1134;1213;1060;1284
0;4;" Green  ";1422;1537;1284;1824
0;4;" Blue   ";2095;2211;1824;2672
0;4;" White  ";3134;3453;2672;4095
0;5;" NONE   ";0;99;0;374
0;5;" Orange ";649;756;374;892
0;5;" Red    ";942;1041;892;1079
0;5;" Green  ";1116;1225;1079;1394
0;5;" Blue   ";1600;1708;1394;2115
0;5;" White  ";2522;2638;2115;4095
0;6;" NONE   ";0;72;0;339
0;6;" Orange ";607;677;339;800
0;6;" Red    ";873;920;800;955
0;6;" Green  ";1054;1182;955;1413
0;6;" Blue   ";1507;1555;1413;1888
0;6;" White  ";2222;2407;1888;4095
0;7;" NONE   ";0;4;0;380
0;7;" Orange ";756;869;380;982
0;7;" Red    ";1063;1132;982;1189
0;7;" Green  ";1317;1451;1189;1756
0;7;" Blue   ";1948;2054;1756;2502
0;7;" White  ";2951;3304;2502;4095
0;8;" NONE   ";0;18;0;440
0;8;" Orange ";862;971;440;1083
0;8;" Red    ";1195;1335;1083;1469
0;8;" Green  ";1559;1705;1469;1977
0;8;" Blue   ";2244;2448;1977;2932
0;8;" White  ";3417;3608;2932;4095
0;9;" NONE   ";0;21;0;398
0;9;" Orange ";775;887;398;1026
0;9;" Red    ";1121;1236;1026;1300
0;9;" Green  ";1373;1542;1300;1906
0;9;" Blue   ";2053;2120;1906;2587
0;9;" White  ";3054;3361;2587;4095
0;10;" NONE   ";0;50;0;338
0;10;" Orange ";626;747;338;863
0;10;" Red    ";926;1002;863;1057
0;10;" Green  ";1147;1233;1057;1382
0;10;" Blue   ";1676;1787;1382;2135
0;10;" White  ";2484;2775;2135;4095
0;11;" NONE   ";0;0;0;318
0;11;" Orange ";636;783;318;904
0;11;" Red    ";965;1045;904;1109
0;11;" Green  ";1230;1346;1109;1497
0;11;" Blue   ";1774;1897;1497;2307
0;11;" White  ";2717;3039;2307;4095
0;12;" NONE   ";0;11;0;426
0;12;" Orange ";841;967;426;1124
0;12;" Red    ";1199;1257;1124;1375
0;12;" Green  ";1566;1669;1375;2012
0;12;" Blue   ";2265;2349;2012;2871
0;12;" White  ";3394;3592;2871;4095
0;13;" NONE   ";0;20;0;403
0;13;" Orange ";787;880;403;985
0;13;" Red    ";1155;1279;985;1358
0;13;" Green  ";1450;1578;1358;1773
0;13;" Blue   ";2066;2237;1773;2659
0;13;" White  ";3082;3380;2659;4095
0;14;" NONE   ";0;5;0;427
