none,orange,red,green,blue,white
0,1215,1704,2121,3111,3727
3,1029,1481,1862,2612,3686
13,869,1226,1543,2134,3223
0,879,1236,1594,2261,3572
0,853,1187,1472,2156,3322
13,682,969,1183,1651,2563
5,638,896,1120,1532,2336
0,814,1102,1384,1990,3155
0,911,1255,1612,2335,3569
0,827,1162,1455,2088,3216
1,673,966,1205,1731,2657
0,702,1005,1305,1849,2924
0,910,1226,1616,2304,3534
0,842,1216,1523,2148,3260
0,881,1276,1638,2331,3556
0,885,1194,1468,2125,3246
11,1389,1836,2308,3297,3711
1,1129,1599,1991,2850,3686
10,1191,1684,2123,3007,3686
0,1274,1741,2280,3253,3700
0,1035,1431,1796,2628,3657
2,856,1218,1513,2155,3330
1,977,1324,1654,2375,3566
0,969,1382,1737,2522,3645
1,1060,1477,1888,2696,3664
0,892,1242,1574,2205,3377
1,853,1198,1501,2149,3309
1,951,1298,1636,2331,3517
1,965,1348,1735,2467,3611
2,990,1401,1731,2488,3606
0,992,1391,1734,2428,3628
1,1148,1556,1942,2826,3661
0,1188,1613,2065,2975,3727
0,1102,1591,1998,2944,3727
0,948,1357,1696,2461,3656
0,1108,1528,1984,2833,3716
156,1167,1540,2089,3182,2282
758,473,1170,1545,2096,3193
0,892,1215,1524,2185,3277
0,951,1311,1670,2412,3652
0,969,1365,1742,2537,3678
0,782,1095,1411,2020,3147
0,847,1235,1572,2283,3517
0,933,1265,1627,2509,3669
0,1014,1415,1832,2694,3691
0,919,1322,1681,2463,3644
0,1127,1565,2024,2993,3715
0,951,1299,1610,2349,3574
0,515,794,1026,1535,2479
0,495,781,1034,1548,2496
0,398,653,889,1302,2079
0,426,714,962,1434,2286
0,389,611,847,1297,2161
0,200,436,623,982,1627
0,287,509,699,1080,1713
0,400,660,902,1351,2149
0,279,503,700,1065,1702
0,299,512,687,1060,1686
0,283,509,682,1058,1674
0,291,482,694,1066,1766
0,347,609,856,1280,2019
0,266,493,702,1051,1671
0,451,684,935,1404,2234
0,441,685,906,1381,2182
0,1326,1831,2382,3398,3765
0,1401,1977,2489,3611,3767
0,1106,1532,1964,2814,3729
0,1123,1570,2034,3005,3735
0,1103,1495,1925,2812,3728
0,819,1200,1512,2193,3415
0,932,1340,1675,2403,3627
0,979,1413,1793,2635,3711
0,1064,1517,1967,2911,3726
0,844,1241,1578,2308,3535
0,851,1208,1558,2236,3415
0,956,1313,1678,2479,3667
0,1098,1553,2017,2938,3721
