board;sensor;marble_color;min_value;max_value;low_threshold;high_threshold
3;0;" NONE   ";    0;    0;   0; 761
3;0;" Red    "; 1522; 1672; 761;1934
3;0;" Blue   "; 2195; 2236;1934;2419
3;0;" Yellow "; 2602; 2639;2419;3010
3;0;" White  "; 3381; 3414;3010;4095
3;1;" NONE   ";    0;    0;   0; 750
3;1;" Red    "; 1500; 1633; 750;1832
3;1;" Blue   "; 2032; 2107;1832;2304
3;1;" Yellow "; 2500; 2517;2304;2805
3;1;" White  "; 3093; 3258;2805;4095
3;2;" NONE   ";    0;    0;   0; 648
3;2;" Red    "; 1296; 1353; 648;1577
3;2;" Blue   "; 1801; 1901;1577;2014
3;2;" Yellow "; 2128; 2282;2014;2536
3;2;" White  "; 2790; 2897;2536;4095
3;3;" NONE   ";    0;    0;   0; 701
3;3;" Red    "; 1402; 1505; 701;1718
3;3;" Blue   "; 1932; 1999;1718;2226
3;3;" Yellow "; 2452; 2475;2226;2712
3;3;" White  "; 2950; 3044;2712;4095
3;4;" NONE   ";    0;    0;   0; 567
3;4;" Red    "; 1134; 1305; 567;1508
3;4;" Blue   "; 1711; 1737;1508;1916
3;4;" Yellow "; 2094; 2157;1916;2435
3;4;" White  "; 2713; 2793;2435;4095
3;5;" NONE   ";    0;    0;   0; 436
3;5;" Red    ";  871;  974; 436;1112
3;5;" Blue   "; 1251; 1347;1112;1487
3;5;" Yellow "; 1627; 1697;1487;1836
3;5;" White  "; 1974; 2152;1836;4095
3;6;" NONE   ";    0;    1;   0; 550
3;6;" Red    "; 1100; 1131; 550;1305
3;6;" Blue   "; 1479; 1495;1305;1612
3;6;" Yellow "; 1729; 1760;1612;1954
3;6;" White  "; 2148; 2235;1954;4095
3;7;" NONE   ";    0;    0;   0; 610
3;7;" Red    "; 1221; 1341; 610;1493
3;7;" Blue   "; 1645; 1698;1493;1878
3;7;" Yellow "; 2057; 2078;1878;2324
3;7;" White  "; 2570; 2674;2324;4095
3;8;" NONE   ";    0;   27;   0; 530
3;8;" Red    "; 1032; 1084; 530;1221
3;8;" Blue   "; 1358; 1424;1221;1569
3;8;" Yellow "; 1714; 1750;1569;1922
3;8;" White  "; 2093; 2116;1922;4095
3;9;" NONE   ";    0;    0;   0; 512
3;9;" Red    "; 1025; 1059; 512;1165
3;9;" Blue   "; 1271; 1626;1165;1606
3;9;" Yellow "; 1586; 1673;1606;1911
3;9;" White  "; 2149; 2196;1911;4095
3;10;" NONE   ";    0;    9;   0; 511
3;10;" Red    "; 1013; 1072; 511;1192
3;10;" Blue   "; 1311; 1418;1192;1455
3;10;" Yellow "; 1492; 1662;1455;1833
3;10;" White  "; 2004; 2099;1833;4095
3;11;" NONE   ";    0;    0;   0; 528
3;11;" Red    "; 1055; 1082; 528;1232
3;11;" Blue   "; 1381; 1494;1232;1544
3;11;" Yellow "; 1593; 1819;1544;2048
3;11;" White  "; 2277; 2323;2048;4095
3;12;" NONE   ";    0;    0;   0; 638
3;12;" Red    "; 1275; 1346; 638;1561
3;12;" Blue   "; 1776; 2008;1561;2082
3;12;" Yellow "; 2155; 2228;2082;2448
3;12;" White  "; 2668; 2871;2448;4095
3;13;" NONE   ";    0;    0;   0; 530
3;13;" Red    "; 1061; 1143; 530;1277
3;13;" Blue   "; 1411; 1458;1277;1556
3;13;" Yellow "; 1653; 1691;1556;1921
3;13;" White  "; 2151; 2232;1921;4095
3;14;" NONE   ";    0;    0;   0; 720
3;14;" Red    "; 1441; 1459; 720;1692
3;14;" Blue   "; 1925; 2025;1692;2201
3;14;" Yellow "; 2377; 2402;2201;2720
3;14;" White  "; 3039; 3082;2720;4095
3;15;" NONE   ";    0;    0;   0; 740
3;15;" Red    "; 1481; 1560; 740;1708
3;15;" Blue   "; 1857; 1979;1708;2177
3;15;" Yellow "; 2375; 2520;2177;2785
3;15;" White  "; 3050; 3085;2785;4095
